"","North.site","South.site"
"Acanthiza_lineata",0,3
"Acanthiza_nana",0,18
"Acanthiza_pusilla",41,31
"Acanthorhynchus_tenuirostris",0,2
"Alisterus_scapularis",3,1
"Cacatua_galerita",1,2
"Cacomantis_flabelliformis",5,5
"Calyptorhynchus_funereus",4,1
"Colluricincla_harmonica",4,6
"Cormobates_leucophaea",11,32
"Corvus_coronoides",1,0
"Dacelo_novaeguineae",2,0
"Eopsaltria_australis",5,5
"Gerygone_mouki",12,10
"Leucosarcia_melanoleuca",1,1
"Lichenostomus_chrysops",0,4
"Malurus_cyaneus",0,6
"Malurus_lamberti",0,6
"Manorina_melanophrys",0,9
"Meliphaga_lewinii",11,18
"Menura_novaehollandiae",9,5
"Monarcha_melanopsis",1,10
"Neochmia_temporalis",0,9
"Oriolus_sagittatus",1,0
"Pachycephala_olivacea",0,2
"Pachycephala_pectoralis",16,15
"Pachycephala_rufiventris",0,3
"Pardalotus_punctatus",15,17
"Petroica_rosea",1,1
"Phylidonyris_niger",0,2
"Platycercus_elegans",2,7
"Psophodes_olivaceus",7,7
"Ptilonorhynchus_violaceus",2,2
"Ptiloris_paradiseus",0,3
"Rhipidura_albicollis",18,20
"Rhipidura_rufifrons",8,14
"Sericornis_citreogularis",0,2
"Sericornis_frontalis",2,6
"Strepera_graculina",3,4
"Zoothera_lunulata",0,1
"Zosterops_lateralis",16,17
